month,pct,bnf_name,bnf_code,total_items,total_cost
2010-08-01,06W,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,1.56
2010-08-01,06W,Fondaparinux Sod_Inj 12.5mg/ml 0.6ml Pfs,0208010ABAAACAC,3,257.44
2010-08-01,06W,Ketamine_Inj 50mg/ml 10ml Vl,1501010F0AAABAB,1,56.52
2010-08-01,06W,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,8,7.28
2010-08-01,06W,Methotrexate_Inj 25mg/ml 2ml Vl,0801030P0AAANAN,8,33.32
2010-08-01,06W,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,4,32.79
2010-08-01,06W,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,7,66.47
2010-08-01,06W,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,1,29.48
2010-08-01,06W,Vancomycin HCl_I/V Inf 500mg Vl,0501070U0AAACAC,1,59.84
2010-08-01,06W,Viridal Duo_S/Pack Inj 40mcg Cart,0704050B0BCAIBN,1,27.51
2010-08-01,06W,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,13,29.14
2010-09-01,06W,Fondaparinux Sod_Inj 12.5mg/ml 0.6ml Pfs,0208010ABAAACAC,1,75.09
2010-09-01,06W,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,8,24.59
2010-09-01,06W,Marcain_Heavy Inj 4ml Amp,1502010C0BBAHAK,1,1.11
2010-09-01,06W,Methotrexate_Inj 25mg/ml 2ml Vl,0801030P0AAANAN,12,63.629999999999995
2010-09-01,06W,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,3.92
2010-09-01,06W,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,1,14.76
2010-09-01,06W,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,2,11.84
2010-09-01,06W,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,2,1.82
2010-10-01,06W,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,1.64
2010-10-01,06W,Fondaparinux Sod_Inj 12.5mg/ml 0.6ml Pfs,0208010ABAAACAC,2,150.15
2010-10-01,06W,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,10,9.1
2010-10-01,06W,Methotrexate_Inj 25mg/ml 20ml Vl,0801030P0AAAKAK,1,44.16
2010-10-01,06W,Methotrexate_Inj 25mg/ml 2ml Vl,0801030P0AAANAN,9,37.47
2010-10-01,06W,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,7.81
2010-10-01,06W,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,2,22.14
2010-10-01,06W,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,10,44.61
2010-11-01,06W,Etanercept_Inj 50mg/1ml Pfs,1001030D0AAACAC,1,658.17
2010-11-01,06W,Fondaparinux Sod_Inj 12.5mg/ml 0.6ml Pfs,0208010ABAAACAC,2,150.23
2010-11-01,06W,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,18,51.019999999999996
2010-11-01,06W,Methotrexate_Inj 25mg/ml 2ml Vl,0801030P0AAANAN,9,37.49
2010-11-01,06W,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,2,3.18
2010-11-01,06W,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,7,103.32000000000001
2010-11-01,06W,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,11,20.97
2010-12-01,06W,Ceftriaxone Sod_Inj 1g Vl,0501021G0AAACAC,1,44.14
2010-12-01,06W,Gentamicin Sulf_Inj 40mg/ml 2ml Vl,0501040H0AAAMAM,1,442.06
2010-12-01,06W,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,14,30.080000000000002
2010-12-01,06W,Methotrexate_Inj 25mg/ml 2ml Vl,0801030P0AAANAN,1,4.17
2010-12-01,06W,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,3,31.39
2010-12-01,06W,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,1,14.77
2010-12-01,06W,Vancomycin HCl_I/V Inf 500mg Vl,0501070U0AAACAC,1,59.89
2010-12-01,06W,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,2,5.47
2011-01-01,06W,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,8,28.25
2011-01-01,06W,Methotrexate_Inj 25mg/ml 2ml Vl,0801030P0AAANAN,16,80.31
2011-01-01,06W,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,4,31.24
2011-01-01,06W,Vancomycin HCl_I/V Inf 500mg Vl,0501070U0AAACAC,1,59.87
2011-01-01,06W,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,11,20.96
2011-02-01,06W,Alfentanil HCl_Inj 5mg/ml 1ml Amp,1501043A0AAADAD,1,23.07
2011-02-01,06W,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,12,10.93
2011-02-01,06W,Methotrexate_Inj 25mg/ml 2ml Vl,0801030P0AAANAN,12,54.6
2011-02-01,06W,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,3.93
2011-02-01,06W,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,5,66.52
2011-02-01,06W,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,7,38.31
2011-03-01,06W,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,1.79
2011-03-01,06W,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,10,26.44
2011-03-01,06W,Methotrexate_Inj 25mg/ml 2ml Vl,0801030P0AAANAN,10,41.7
2011-03-01,06W,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,2,15.64
2011-03-01,06W,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,2,29.55
2011-03-01,06W,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,7,20.97
2011-04-01,06W,Alprostadil_S/Pack Inj 10mcg Cart,0704050B0AABMBM,1,111.25
2011-04-01,06W,Alprostadil_S/Pack Inj 20mcg Cart,0704050B0AABLBL,1,45.24
2011-04-01,06W,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,1.79
2011-04-01,06W,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,6,22.78
2011-04-01,06W,Methotrexate_Inj 25mg/ml 2ml Vl,0801030P0AAANAN,6,25.0
2011-04-01,06W,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,3,19.55
2011-04-01,06W,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,5,73.81
2011-04-01,06W,Viridal Duo_S/Pack Inj 10mcg Cart,0704050B0BCAHBM,1,37.13
2011-04-01,06W,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,4,7.29
2011-05-01,06W,Alfentanil HCl_Inj 5mg/ml 1ml Amp,1501043A0AAADAD,1,21.41
2011-05-01,06W,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,1,92.9
2011-05-01,06W,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,13,29.2
2011-05-01,06W,Methotrexate_Inj 25mg/ml 2ml Vl,0801030P0AAANAN,10,41.72
2011-05-01,06W,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,2,9.41
2011-05-01,06W,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,1,7.41
2011-05-01,06W,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,1,14.78
2011-05-01,06W,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,1,129.28
2011-05-01,06W,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,7,6.390000000000001
2011-06-01,06W,Alfentanil HCl_Inj 5mg/ml 1ml Amp,1501043A0AAADAD,5,195.79000000000002
2011-06-01,06W,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,1,185.67
2011-06-01,06W,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,36,36.480000000000004
2011-06-01,06W,Methotrexate_Inj 25mg/ml 2ml Vl,0801030P0AAANAN,10,41.7
2011-06-01,06W,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,15.6
2011-06-01,06W,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,1,14.77
2011-06-01,06W,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,1,14.77
2011-06-01,06W,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,10,12.76
2011-07-01,06W,Alfentanil HCl_Inj 5mg/ml 1ml Amp,1501043A0AAADAD,4,223.75
2011-07-01,06W,Alprostadil_S/Pack Inj 20mcg Cart,0704050B0AABLBL,1,90.49
2011-07-01,06W,Ketorolac Trometamol_Inj 30mg/ml 1ml Amp,1501042E0AAAAAA,1,9.91
2011-07-01,06W,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,16,19.02
2011-07-01,06W,Methotrexate_Inj 25mg/ml 2ml Vl,0801030P0AAANAN,2,8.34
2011-07-01,06W,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,7.82
2011-07-01,06W,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,1,7.4
2011-07-01,06W,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,1,258.33
2011-07-01,06W,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,7,17.82
2011-08-01,06W,Alfentanil HCl_Inj 5mg/ml 1ml Amp,1501043A0AAADAD,1,21.4
2011-08-01,06W,Cefotaxime Sod_Inj 1g Vl,0501021D0AAABAB,1,5.58
2011-08-01,06W,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,5,5.949999999999999
2011-08-01,06W,Methotrexate_Inj 25mg/ml 2ml Vl,0801030P0AAANAN,1,4.17
2011-08-01,06W,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,2,7.86
2011-08-01,06W,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,10,34.44
2011-09-01,06W,Alfentanil HCl_Inj 5mg/ml 1ml Amp,1501043A0AAADAD,2,85.53
2011-09-01,06W,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,15,22.58
2011-09-01,06W,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,2,15.64
2011-09-01,06W,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,4,44.36
2011-09-01,06W,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,1,14.77
2011-09-01,06W,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,1,64.62
2011-09-01,06W,Vancomycin HCl_I/V Inf 500mg Vl,0501070U0AAACAC,1,59.92
2011-09-01,06W,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,7,13.07
2011-10-01,06W,Alfentanil HCl_Inj 5mg/ml 1ml Amp,1501043A0AAADAD,1,21.39
2011-10-01,06W,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,2.15
2011-10-01,06W,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,1,185.63
2011-10-01,06W,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,10,11.9
2011-10-01,06W,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,3.93
2011-10-01,06W,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,2,25.12
2011-10-01,06W,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,1,3.56
2011-11-01,06W,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,1,99.56
2011-11-01,06W,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,23,27.36
2011-11-01,06W,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,5,46.89
2011-11-01,06W,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,4,59.099999999999994
2011-11-01,06W,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,1,1.19
