month,pct,bnf_name,bnf_code,total_items,total_cost
2010-08-01,08K,Abacavir/Lamivudine_Tab 600mg/300mg,0503010Z0AAAAAA,1,302.56
2010-08-01,08K,Co-Amoxiclav_Inj 1g/200mg Vl,0501013K0AAAFAF,1,50.31
2010-08-01,08K,Ertapenem Sod_I/V Inf 1g Vl (Dry),0501022B0AAAAAA,1,291.27
2010-08-01,08K,Fondaparinux Sod_Inj 12.5mg/ml 0.6ml Pfs,0208010ABAAACAC,2,214.52
2010-08-01,08K,Ketorolac Trometamol_Inj 30mg/ml 1ml Amp,1501042E0AAAAAA,1,20.75
2010-08-01,08K,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,4,38.26
2010-08-01,08K,Meropenem_Inj 500mg Vl (Dry),0501022A0AAAAAA,1,237.3
2010-08-01,08K,Nutricia_preOp Liq,090402000BBQFA0,1,19.87
2010-08-01,08K,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,5,412.4
2010-08-01,08K,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,3,774.1600000000001
2010-08-01,08K,Temocillin Sod_Inj 1g Vl,0501012U0AAABAB,1,2622.94
2010-08-01,08K,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,4,3.64
2010-09-01,08K,Abacavir/Lamivudine_Tab 600mg/300mg,0503010Z0AAAAAA,1,302.57
2010-09-01,08K,Botox_Inj 100u Vl,0409030B0BCAAAE,2,1017.44
2010-09-01,08K,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,1,92.73
2010-09-01,08K,Efavirenz_Tab 600mg,0503010D0AAADAD,6,258.2
2010-09-01,08K,Fondaparinux Sod_Inj 12.5mg/ml 0.6ml Pfs,0208010ABAAACAC,1,107.26
2010-09-01,08K,Gentamicin Sulf_Inj 40mg/ml 2ml Vl,0501040H0AAAMAM,1,6.36
2010-09-01,08K,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,5,4.55
2010-09-01,08K,Meropenem_Inj 500mg Vl (Dry),0501022A0AAAAAA,1,237.3
2010-09-01,08K,Nutricia_preOp Liq,090402000BBQFA0,1,19.87
2010-09-01,08K,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,2,29.51
2010-09-01,08K,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,4,258.15
2010-09-01,08K,Temocillin Sod_Inj 1g Vl,0501012U0AAABAB,1,2622.96
2010-09-01,08K,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,3,2.73
2010-10-01,08K,Abacavir/Lamivudine_Tab 600mg/300mg,0503010Z0AAAAAA,1,302.5
2010-10-01,08K,Ceftriaxone Sod_Inj 1g Vl,0501021G0AAACAC,1,123.42
2010-10-01,08K,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,1,92.71
2010-10-01,08K,Efavirenz_Tab 600mg,0503010D0AAADAD,7,301.17
2010-10-01,08K,Fondaparinux Sod_Inj 12.5mg/ml 0.6ml Pfs,0208010ABAAACAC,1,107.24
2010-10-01,08K,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,2,1.82
2010-10-01,08K,Meropenem_Inj 500mg Vl (Dry),0501022A0AAAAAA,1,237.26
2010-10-01,08K,Metoprolol Tart_Inj 1mg/ml 5ml Amp,0204000K0AAAAAA,2,230.8
2010-10-01,08K,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,3.92
2010-10-01,08K,Nutricia_preOp Liq,090402000BBQFA0,2,104.91000000000001
2010-10-01,08K,Sustiva 600_Tab 600mg,0503010D0BBADAD,1,184.28
2010-10-01,08K,Temocillin Sod_Inj 1g Vl,0501012U0AAABAB,1,2622.41
2010-10-01,08K,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,3,2.73
2010-11-01,08K,Abacavir/Lamivudine_Tab 600mg/300mg,0503010Z0AAAAAA,3,605.34
2010-11-01,08K,Botox_Inj 100u Vl,0409030B0BCAAAE,1,127.24
2010-11-01,08K,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,2,62.69
